Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,PHO,8.0,40.0,Away,32.0,,40.0
2022-10-25,NOP,4.0,26.0,Away,22.0,,66.0
2022-10-27,BRK,13.0,45.0,Away,32.0,,111.0
2022-11-09,ORL,4.0,49.0,Away,45.0,,160.0
2022-11-10,WAS,8.0,52.0,Away,44.0,,212.0
2022-11-23,BOS,6.0,38.0,Away,32.0,,250.0
2022-11-26,TOR,17.0,48.0,Away,31.0,,298.0
2022-11-27,MIL,8.0,40.0,Away,32.0,,338.0
2022-12-01,DET,13.0,52.0,Away,39.0,,390.0
2022-12-03,NYK,7.0,45.0,Away,38.0,43.5,435.0
2022-12-06,DEN,8.0,36.0,Away,28.0,43.1,471.0
2022-12-10,CHI,4.0,44.0,Away,40.0,44.9,515.0
2022-12-17,CLE,9.0,51.0,Away,42.0,45.5,566.0
2022-12-19,MIN,9.0,44.0,Away,35.0,45.0,610.0
2022-12-21,MIN,8.0,39.0,Away,31.0,43.7,649.0
2022-12-23,HOU,12.0,45.0,Away,33.0,44.4,694.0
2022-12-31,SAS,15.0,48.0,Away,33.0,44.4,742.0
2023-01-02,HOU,8.0,46.0,Away,38.0,45.0,788.0
2023-01-08,OKC,13.0,48.0,Away,35.0,44.6,836.0
2023-01-10,LAC,12.0,46.0,Away,34.0,44.7,882.0
2023-01-12,LAL,14.0,56.0,Away,42.0,46.7,938.0
2023-01-14,POR,10.0,47.0,Away,37.0,47.0,985.0
2023-01-15,POR,8.0,41.0,Away,33.0,46.0,1026.0
2023-01-26,PHO,13.0,50.0,Away,37.0,46.6,1076.0
2023-01-28,UTA,13.0,49.0,Away,36.0,47.6,1125.0
2023-02-04,GSW,5.0,38.0,Away,33.0,46.9,1163.0
2023-02-06,UTA,10.0,37.0,Away,27.0,45.8,1200.0
2023-02-08,LAC,9.0,40.0,Away,31.0,45.2,1240.0
2023-02-10,SAC,5.0,38.0,Away,33.0,44.2,1278.0
2023-02-11,SAC,11.0,50.0,Away,39.0,44.6,1328.0
2023-02-15,DEN,6.0,43.0,Away,37.0,43.3,1371.0
2023-03-08,NOP,9.0,49.0,Away,40.0,43.5,1420.0
2023-03-11,MEM,11.0,45.0,Away,34.0,43.9,1465.0
2023-03-15,SAS,16.0,47.0,Away,31.0,43.6,1512.0
2023-03-17,LAL,13.0,42.0,Away,29.0,42.9,1554.0
2023-03-20,MEM,17.0,50.0,Away,33.0,44.1,1604.0
2023-03-26,CHO,14.0,58.0,Away,44.0,46.2,1662.0
2023-03-27,IND,14.0,43.0,Away,29.0,46.5,1705.0
2023-03-29,PHI,11.0,43.0,Away,32.0,47.0,1748.0
2023-04-01,MIA,10.0,36.0,Away,26.0,45.6,1784.0
2023-04-02,ATL,16.0,53.0,Away,37.0,46.6,1837.0
