Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,DET,12.0,41.0,Away,29.0,41.0,41.0,43.829268292682926
2022-10-21,ATL,9.0,46.0,Away,37.0,43.5,87.0,41.0
2022-10-24,NYK,18.0,50.0,Away,32.0,45.666666666666664,137.0,43.5
2022-10-26,CLE,12.0,43.0,Away,31.0,45.0,180.0,45.666666666666664
2022-10-30,DAL,5.0,37.0,Away,32.0,43.4,217.0,45.0
2022-11-01,OKC,8.0,36.0,Away,28.0,42.166666666666664,253.0,43.4
2022-11-18,CHI,13.0,46.0,Away,33.0,42.714285714285715,299.0,42.166666666666664
2022-11-19,IND,12.0,42.0,Away,30.0,42.625,341.0,42.714285714285715
2022-11-21,IND,12.0,48.0,Away,36.0,43.22222222222222,389.0,42.625
2022-11-28,BRK,8.0,42.0,Away,34.0,43.1,431.0,43.22222222222222
2022-12-02,CLE,5.0,33.0,Away,28.0,42.3,464.0,43.1
2022-12-03,TOR,12.0,43.0,Away,31.0,42.0,507.0,42.3
2022-12-16,BOS,10.0,38.0,Away,28.0,40.8,545.0,42.0
2022-12-18,BOS,11.0,54.0,Away,43.0,41.9,599.0,40.8
2022-12-19,ATL,6.0,41.0,Away,35.0,42.3,640.0,41.9
2022-12-21,HOU,9.0,49.0,Away,40.0,43.6,689.0,42.3
2022-12-28,DET,11.0,49.0,Away,38.0,43.9,738.0,43.6
2023-01-07,GSW,11.0,49.0,Away,38.0,44.6,787.0,43.9
2023-01-09,SAC,11.0,48.0,Away,37.0,44.6,835.0,44.6
2023-01-10,POR,13.0,43.0,Away,30.0,44.7,878.0,44.6
2023-01-13,UTA,17.0,59.0,Away,42.0,47.3,937.0,44.7
2023-01-15,DEN,12.0,41.0,Away,29.0,47.1,978.0,47.3
2023-01-21,WAS,9.0,46.0,Away,37.0,47.9,1024.0,47.1
2023-01-27,MIA,5.0,37.0,Away,32.0,46.2,1061.0,47.9
2023-01-30,PHI,8.0,45.0,Away,37.0,46.6,1106.0,46.2
2023-02-01,PHI,7.0,43.0,Away,36.0,46.0,1149.0,46.6
2023-02-03,MIN,12.0,41.0,Away,29.0,45.2,1190.0,46.0
2023-02-05,CHO,8.0,39.0,Away,31.0,44.2,1229.0,45.2
2023-02-13,CHI,10.0,44.0,Away,34.0,43.8,1273.0,44.2
2023-02-14,TOR,13.0,40.0,Away,27.0,43.5,1313.0,43.8
2023-02-27,NOP,9.0,38.0,Away,29.0,41.4,1351.0,43.5
2023-03-01,MIL,8.0,46.0,Away,38.0,41.9,1397.0,41.4
2023-03-03,CHO,8.0,34.0,Away,26.0,40.7,1431.0,41.9
2023-03-14,SAS,7.0,47.0,Away,40.0,41.7,1478.0,40.7
2023-03-16,PHO,7.0,35.0,Away,28.0,40.7,1513.0,41.7
2023-03-18,LAC,13.0,43.0,Away,30.0,40.7,1556.0,40.7
2023-03-19,LAL,9.0,52.0,Away,43.0,41.8,1608.0,40.7
2023-03-28,MEM,7.0,49.0,Away,42.0,42.8,1657.0,41.8
2023-03-31,WAS,15.0,51.0,Away,36.0,43.5,1708.0,42.8
2023-04-07,BRK,10.0,45.0,Away,35.0,44.0,1753.0,43.5
2023-04-09,MIA,7.0,44.0,Away,37.0,44.6,1797.0,44.0
