Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,WAS,14.0,53.0,Home,39.0,,53.0
2022-10-21,SAS,7.0,37.0,Home,30.0,,90.0
2022-10-22,DET,17.0,53.0,Home,36.0,,143.0
2022-11-04,MIA,8.0,42.0,Home,34.0,,185.0
2022-11-07,NOP,13.0,43.0,Home,30.0,,228.0
2022-11-09,DEN,11.0,47.0,Home,36.0,,275.0
2022-11-12,TOR,16.0,43.0,Home,27.0,,318.0
2022-11-19,ORL,11.0,41.0,Home,30.0,,359.0
2022-11-21,ORL,12.0,38.0,Home,26.0,,397.0
2022-11-23,MIN,8.0,50.0,Home,42.0,44.7,447.0
2022-11-25,BRK,5.0,38.0,Home,33.0,43.2,485.0
2022-12-09,WAS,12.0,38.0,Home,26.0,43.3,523.0
2022-12-10,BRK,29.0,59.0,Home,30.0,43.9,582.0
2022-12-12,MIA,9.0,48.0,Home,39.0,44.5,630.0
2022-12-14,GSW,12.0,46.0,Home,34.0,44.8,676.0
2022-12-18,NYK,14.0,49.0,Home,35.0,45.0,725.0
2022-12-27,ATL,9.0,42.0,Home,33.0,44.9,767.0
2022-12-29,CLE,17.0,44.0,Home,27.0,45.2,811.0
2022-12-31,LAC,8.0,39.0,Home,31.0,45.3,850.0
2023-01-02,TOR,12.0,36.0,Home,24.0,43.9,886.0
2023-01-06,POR,12.0,52.0,Home,40.0,45.3,938.0
2023-01-08,CHO,13.0,49.0,Home,36.0,46.4,987.0
2023-01-13,ATL,14.0,50.0,Home,36.0,45.5,1037.0
2023-01-14,MEM,7.0,45.0,Home,38.0,45.2,1082.0
2023-01-24,CHI,11.0,45.0,Home,34.0,45.1,1127.0
2023-01-27,MIL,14.0,50.0,Home,36.0,45.2,1177.0
2023-02-02,LAL,13.0,51.0,Home,38.0,46.1,1228.0
2023-02-03,SAC,11.0,49.0,Home,38.0,46.6,1277.0
2023-02-05,CLE,8.0,46.0,Home,38.0,47.3,1323.0
2023-02-10,PHO,19.0,53.0,Home,34.0,49.0,1376.0
2023-02-13,UTA,11.0,46.0,Home,35.0,48.4,1422.0
2023-02-15,CHI,6.0,38.0,Home,32.0,47.3,1460.0
2023-02-23,BOS,20.0,51.0,Home,31.0,47.4,1511.0
2023-03-06,PHI,5.0,36.0,Home,31.0,46.5,1547.0
2023-03-09,HOU,20.0,58.0,Home,38.0,47.8,1605.0
2023-03-18,PHI,6.0,30.0,Home,24.0,45.8,1635.0
2023-03-27,DAL,4.0,33.0,Home,29.0,44.0,1668.0
2023-03-29,MIL,14.0,52.0,Home,38.0,44.3,1720.0
2023-03-31,OKC,11.0,45.0,Home,34.0,44.2,1765.0
2023-04-05,NYK,20.0,52.0,Home,32.0,44.1,1817.0
2023-04-07,DET,10.0,42.0,Home,32.0,43.7,1859.0
