Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-23,PHO,13.0,49.0,Home,36.0,,49.0
2022-10-30,NOP,12.0,50.0,Home,38.0,,99.0
2022-10-31,HOU,7.0,44.0,Home,37.0,,143.0
2022-11-06,UTA,7.0,42.0,Home,35.0,,185.0
2022-11-07,CLE,10.0,48.0,Home,38.0,,233.0
2022-11-09,LAL,8.0,43.0,Home,35.0,,276.0
2022-11-12,BRK,6.0,41.0,Home,35.0,,317.0
2022-11-17,DET,10.0,43.0,Home,33.0,,360.0
2022-11-19,SAS,15.0,43.0,Home,28.0,,403.0
2022-11-21,UTA,16.0,45.0,Home,29.0,44.8,448.0
2022-11-25,DEN,10.0,37.0,Home,27.0,43.6,485.0
2022-11-27,IND,9.0,39.0,Home,30.0,42.5,524.0
2022-12-03,SAC,8.0,46.0,Home,38.0,42.7,570.0
2022-12-12,BOS,5.0,36.0,Home,31.0,42.1,606.0
2022-12-14,MIN,7.0,43.0,Home,36.0,41.6,649.0
2022-12-15,PHO,15.0,53.0,Home,38.0,42.6,702.0
2022-12-17,WAS,7.0,42.0,Home,35.0,42.7,744.0
2022-12-21,CHO,11.0,40.0,Home,29.0,42.4,784.0
2023-01-02,MIA,12.0,48.0,Home,36.0,42.9,832.0
2023-01-08,ATL,7.0,43.0,Home,36.0,42.7,875.0
2023-01-10,DAL,3.0,32.0,Home,29.0,42.2,907.0
2023-01-13,DEN,10.0,43.0,Home,33.0,42.6,950.0
2023-01-15,HOU,10.0,39.0,Home,29.0,41.9,989.0
2023-01-17,PHI,8.0,33.0,Home,25.0,41.6,1022.0
2023-01-26,SAS,11.0,42.0,Home,31.0,41.5,1064.0
2023-02-08,DAL,8.0,44.0,Home,36.0,40.6,1108.0
2023-02-10,MIL,9.0,49.0,Home,40.0,41.3,1157.0
2023-02-14,GSW,8.0,36.0,Home,28.0,40.9,1193.0
2023-02-24,SAC,12.0,43.0,Home,31.0,40.4,1236.0
2023-02-28,MIN,10.0,46.0,Home,36.0,40.7,1282.0
2023-03-05,MEM,2.0,26.0,Home,24.0,40.1,1308.0
2023-03-08,TOR,15.0,41.0,Home,26.0,39.9,1349.0
2023-03-11,NYK,20.0,54.0,Home,34.0,41.4,1403.0
2023-03-15,GSW,7.0,36.0,Home,29.0,41.7,1439.0
2023-03-18,ORL,9.0,45.0,Home,36.0,42.0,1484.0
2023-03-21,OKC,12.0,47.0,Home,35.0,42.3,1531.0
2023-03-23,OKC,13.0,40.0,Home,27.0,41.4,1571.0
2023-03-25,NOP,12.0,45.0,Home,33.0,42.3,1616.0
2023-03-27,CHI,8.0,34.0,Home,26.0,41.4,1650.0
2023-04-05,LAL,10.0,44.0,Home,34.0,41.2,1694.0
2023-04-08,POR,7.0,34.0,Home,27.0,42.0,1728.0
