Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-20,LAC,10.0,58.0,Home,48.0,,58.0
2022-10-23,POR,13.0,52.0,Home,39.0,,110.0
2022-10-30,DEN,13.0,48.0,Home,35.0,,158.0
2022-11-02,NOP,11.0,51.0,Home,40.0,,209.0
2022-11-04,UTA,15.0,48.0,Home,33.0,,257.0
2022-11-06,CLE,9.0,48.0,Home,39.0,,305.0
2022-11-11,SAC,10.0,40.0,Home,30.0,,345.0
2022-11-13,BRK,8.0,41.0,Home,33.0,,386.0
2022-11-18,DET,10.0,37.0,Home,27.0,,423.0
2022-11-20,SAS,13.0,44.0,Home,31.0,46.7,467.0
2022-11-28,IND,12.0,49.0,Home,37.0,45.8,516.0
2022-11-30,POR,12.0,45.0,Home,33.0,45.1,561.0
2022-12-13,BOS,13.0,51.0,Home,38.0,45.4,612.0
2022-12-16,DEN,9.0,39.0,Home,30.0,44.2,651.0
2022-12-18,WAS,10.0,48.0,Home,38.0,44.2,699.0
2022-12-23,CHO,11.0,41.0,Home,30.0,43.5,740.0
2023-01-04,MIA,14.0,43.0,Home,29.0,43.8,783.0
2023-01-06,ATL,7.0,39.0,Home,32.0,43.6,822.0
2023-01-12,DAL,3.0,54.0,Home,51.0,45.3,876.0
2023-01-15,PHI,5.0,38.0,Home,33.0,44.7,914.0
2023-01-16,HOU,17.0,48.0,Home,31.0,44.6,962.0
2023-01-18,SAC,14.0,47.0,Home,33.0,44.8,1009.0
2023-01-20,MEM,24.0,63.0,Home,39.0,46.0,1072.0
2023-01-24,LAC,7.0,47.0,Home,40.0,46.8,1119.0
2023-01-25,SAS,17.0,48.0,Home,31.0,46.8,1167.0
2023-02-07,OKC,7.0,37.0,Home,30.0,46.4,1204.0
2023-02-09,MIL,16.0,51.0,Home,35.0,47.2,1255.0
2023-02-15,NOP,13.0,50.0,Home,37.0,48.3,1305.0
2023-02-23,GSW,17.0,48.0,Home,31.0,47.7,1353.0
2023-03-03,MIN,10.0,46.0,Home,36.0,48.5,1399.0
2023-03-05,GSW,7.0,42.0,Home,35.0,47.9,1441.0
2023-03-07,MEM,6.0,45.0,Home,39.0,47.7,1486.0
2023-03-10,TOR,10.0,37.0,Home,27.0,45.1,1523.0
2023-03-12,NYK,12.0,46.0,Home,34.0,45.0,1569.0
2023-03-17,DAL,7.0,35.0,Home,28.0,43.7,1604.0
2023-03-19,ORL,13.0,44.0,Home,31.0,44.4,1648.0
2023-03-22,PHO,12.0,39.0,Home,27.0,43.2,1687.0
2023-03-24,OKC,12.0,45.0,Home,33.0,42.7,1732.0
2023-03-26,CHI,8.0,42.0,Home,34.0,42.1,1774.0
2023-04-07,PHO,13.0,47.0,Home,34.0,42.2,1821.0
2023-04-09,UTA,7.0,45.0,Home,38.0,42.5,1866.0
