Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-22,HOU,15.0,47.0,Home,32.0,,47.0
2022-10-26,BRK,7.0,37.0,Home,30.0,,84.0
2022-10-28,NYK,13.0,54.0,Home,41.0,,138.0
2022-10-29,ATL,12.0,42.0,Home,30.0,,180.0
2022-10-31,DET,13.0,43.0,Home,30.0,,223.0
2022-11-02,DET,2.0,35.0,Home,33.0,,258.0
2022-11-05,OKC,9.0,38.0,Home,29.0,,296.0
2022-11-14,ATL,13.0,45.0,Home,32.0,,341.0
2022-11-16,CLE,6.0,34.0,Home,28.0,,375.0
2022-11-21,POR,12.0,40.0,Home,28.0,41.5,415.0
2022-11-23,CHI,5.0,35.0,Home,30.0,40.3,450.0
2022-11-25,CLE,10.0,41.0,Home,31.0,40.7,491.0
2022-11-27,DAL,6.0,32.0,Home,26.0,38.5,523.0
2022-12-02,LAL,12.0,44.0,Home,32.0,38.7,567.0
2022-12-07,SAC,8.0,40.0,Home,32.0,38.4,607.0
2022-12-13,GSW,12.0,37.0,Home,25.0,38.6,644.0
2022-12-17,UTA,7.0,29.0,Home,22.0,37.7,673.0
2022-12-30,MIN,7.0,36.0,Home,29.0,36.8,709.0
2023-01-01,WAS,12.0,54.0,Home,42.0,38.8,763.0
2023-01-03,WAS,14.0,46.0,Home,32.0,39.4,809.0
2023-01-06,CHO,13.0,49.0,Home,36.0,40.8,858.0
2023-01-16,IND,4.0,37.0,Home,33.0,40.4,895.0
2023-01-17,TOR,20.0,50.0,Home,30.0,42.2,945.0
2023-01-25,DEN,15.0,51.0,Home,36.0,42.9,996.0
2023-01-29,NOP,8.0,38.0,Home,30.0,42.7,1034.0
2023-01-31,CHO,18.0,62.0,Home,44.0,45.2,1096.0
2023-02-02,LAC,9.0,49.0,Home,40.0,47.2,1145.0
2023-02-04,MIA,13.0,44.0,Home,31.0,48.0,1189.0
2023-02-14,BOS,8.0,44.0,Home,36.0,47.0,1233.0
2023-02-24,MIA,9.0,45.0,Home,36.0,46.9,1278.0
2023-02-26,PHO,19.0,55.0,Home,36.0,47.5,1333.0
2023-03-01,ORL,12.0,50.0,Home,38.0,48.8,1383.0
2023-03-04,PHI,9.0,32.0,Home,23.0,47.0,1415.0
2023-03-09,BRK,15.0,47.0,Home,32.0,46.6,1462.0
2023-03-16,IND,8.0,42.0,Home,34.0,47.0,1504.0
2023-03-19,TOR,9.0,41.0,Home,32.0,44.9,1545.0
2023-03-22,SAS,8.0,46.0,Home,38.0,44.6,1591.0
2023-03-30,BOS,7.0,47.0,Home,40.0,44.9,1638.0
2023-04-02,PHI,11.0,36.0,Home,25.0,44.1,1674.0
2023-04-05,CHI,5.0,38.0,Home,33.0,43.4,1712.0
2023-04-07,MEM,11.0,44.0,Home,33.0,42.3,1756.0
