Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,OKC,16.0,57.0,Home,41.0,57.0,57.0,45.390243902439025
2022-10-21,UTA,19.0,54.0,Home,35.0,55.5,111.0,57.0
2022-10-24,SAS,14.0,50.0,Home,36.0,53.666666666666664,161.0,55.5
2022-10-26,SAS,14.0,41.0,Home,27.0,50.5,202.0,53.666666666666664
2022-10-28,LAL,12.0,55.0,Home,43.0,51.4,257.0,50.5
2022-11-04,MIL,7.0,51.0,Home,44.0,51.333333333333336,308.0,51.4
2022-11-05,HOU,12.0,33.0,Home,21.0,48.714285714285715,341.0,51.333333333333336
2022-11-07,NYK,9.0,43.0,Home,34.0,48.0,384.0,48.714285714285715
2022-11-09,PHO,10.0,36.0,Home,26.0,46.666666666666664,420.0,48.0
2022-11-21,MIA,12.0,46.0,Home,34.0,46.6,466.0,46.666666666666664
2022-11-27,GSW,8.0,47.0,Home,39.0,45.6,513.0,46.6
2022-11-30,MEM,20.0,59.0,Home,39.0,46.1,572.0,45.6
2022-12-03,OKC,13.0,42.0,Home,29.0,45.3,614.0,46.1
2022-12-07,IND,4.0,31.0,Home,27.0,44.3,645.0,45.3
2022-12-18,CHI,6.0,30.0,Home,24.0,41.8,675.0,44.3
2022-12-19,DAL,8.0,42.0,Home,34.0,40.9,717.0,41.8
2022-12-21,DAL,7.0,39.0,Home,32.0,41.5,756.0,40.9
2022-12-31,DET,15.0,52.0,Home,37.0,42.4,808.0,41.5
2023-01-02,DEN,18.0,45.0,Home,27.0,43.3,853.0,42.4
2023-01-04,POR,12.0,39.0,Home,27.0,42.6,892.0,43.3
2023-01-06,LAC,18.0,40.0,Home,22.0,41.9,932.0,42.6
2023-01-13,PHO,9.0,43.0,Home,34.0,40.3,975.0,41.9
2023-01-14,CLE,8.0,40.0,Home,32.0,40.1,1015.0,40.3
2023-01-16,UTA,14.0,50.0,Home,36.0,42.0,1065.0,40.1
2023-01-19,TOR,8.0,38.0,Home,30.0,42.8,1103.0,42.0
2023-01-21,HOU,15.0,56.0,Home,41.0,44.2,1159.0,42.8
2023-01-27,MEM,15.0,47.0,Home,32.0,45.0,1206.0,44.2
2023-01-28,SAC,10.0,36.0,Home,26.0,43.4,1242.0,45.0
2023-01-30,SAC,10.0,50.0,Home,40.0,43.9,1292.0,43.4
2023-02-01,GSW,9.0,58.0,Home,49.0,45.8,1350.0,43.9
2023-02-03,ORL,13.0,42.0,Home,29.0,46.0,1392.0,45.8
2023-02-05,DEN,3.0,37.0,Home,34.0,45.4,1429.0,46.0
2023-02-16,WAS,13.0,49.0,Home,36.0,46.3,1478.0,45.4
2023-02-24,CHO,11.0,52.0,Home,41.0,46.5,1530.0,46.3
2023-03-07,PHI,8.0,54.0,Home,46.0,48.1,1584.0,46.5
2023-03-10,BRK,12.0,48.0,Home,36.0,47.3,1632.0,48.1
2023-03-15,BOS,8.0,44.0,Home,36.0,47.0,1676.0,47.3
2023-03-22,ATL,9.0,41.0,Home,32.0,47.5,1717.0,47.0
2023-03-31,LAL,15.0,53.0,Home,38.0,47.8,1770.0,47.5
2023-04-02,POR,11.0,42.0,Home,31.0,46.2,1812.0,47.8
2023-04-09,NOP,11.0,49.0,Home,38.0,46.9,1861.0,46.2
