Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,DAL,5.0,40.0,Home,35.0,40.0,40.0,42.609756097560975
2022-10-25,GSW,10.0,40.0,Home,30.0,40.0,80.0,40.0
2022-10-28,NOP,9.0,33.0,Home,24.0,37.666666666666664,113.0,40.0
2022-10-30,HOU,17.0,49.0,Home,32.0,40.5,162.0,37.666666666666664
2022-11-01,MIN,10.0,42.0,Home,32.0,40.8,204.0,40.5
2022-11-04,POR,11.0,42.0,Home,31.0,41.0,246.0,40.8
2022-11-05,POR,8.0,40.0,Home,32.0,40.857142857142854,286.0,41.0
2022-11-16,GSW,6.0,40.0,Home,34.0,40.75,326.0,40.857142857142854
2022-11-20,NYK,10.0,39.0,Home,29.0,40.55555555555556,365.0,40.75
2022-11-22,LAL,7.0,45.0,Home,38.0,41.0,410.0,40.55555555555556
2022-11-25,DET,19.0,49.0,Home,30.0,41.9,459.0,41.0
2022-11-26,UTA,8.0,40.0,Home,32.0,41.9,499.0,41.9
2022-11-30,CHI,5.0,35.0,Home,30.0,42.1,534.0,41.9
2022-12-02,HOU,13.0,41.0,Home,28.0,41.3,575.0,42.1
2022-12-07,BOS,11.0,53.0,Home,42.0,42.4,628.0,41.3
2022-12-17,NOP,4.0,36.0,Home,32.0,41.8,664.0,42.4
2022-12-19,LAL,10.0,38.0,Home,28.0,41.6,702.0,41.8
2022-12-20,WAS,9.0,41.0,Home,32.0,41.7,743.0,41.6
2022-12-23,MEM,19.0,53.0,Home,34.0,43.1,796.0,41.7
2023-01-06,MIA,5.0,37.0,Home,32.0,42.3,833.0,43.1
2023-01-08,CLE,3.0,39.0,Home,36.0,41.3,872.0,42.3
2023-01-19,BRK,2.0,34.0,Home,32.0,40.7,906.0,41.3
2023-01-21,IND,11.0,48.0,Home,37.0,42.0,954.0,40.7
2023-01-22,MEM,15.0,52.0,Home,37.0,43.1,1006.0,42.0
2023-01-24,CHO,10.0,40.0,Home,30.0,41.8,1046.0,43.1
2023-01-26,DAL,7.0,43.0,Home,36.0,42.5,1089.0,41.8
2023-01-30,TOR,16.0,44.0,Home,28.0,43.1,1133.0,42.5
2023-02-01,ATL,6.0,45.0,Home,39.0,43.5,1178.0,43.1
2023-02-14,SAC,13.0,40.0,Home,27.0,42.2,1218.0,43.5
2023-02-16,LAC,8.0,43.0,Home,35.0,42.8,1261.0,42.2
2023-02-24,OKC,14.0,47.0,Home,33.0,43.6,1308.0,42.8
2023-03-08,OKC,7.0,37.0,Home,30.0,43.9,1345.0,43.6
2023-03-11,SAC,8.0,39.0,Home,31.0,43.0,1384.0,43.9
2023-03-14,MIL,13.0,46.0,Home,33.0,42.4,1430.0,43.0
2023-03-16,ORL,11.0,47.0,Home,36.0,43.1,1477.0,42.4
2023-03-25,PHI,8.0,36.0,Home,28.0,42.4,1513.0,43.1
2023-03-29,MIN,16.0,54.0,Home,38.0,43.4,1567.0,42.4
2023-03-31,DEN,15.0,51.0,Home,36.0,44.0,1618.0,43.4
2023-04-04,SAS,9.0,38.0,Home,29.0,43.8,1656.0,44.0
2023-04-06,DEN,9.0,38.0,Home,29.0,43.3,1694.0,43.8
2023-04-09,LAC,14.0,53.0,Home,39.0,43.9,1747.0,43.3
