Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,POR,11.0,44.0,Home,33.0,44.0,44.0,40.8780487804878
2022-10-22,LAC,5.0,40.0,Home,35.0,42.0,84.0,44.0
2022-10-27,MEM,11.0,43.0,Home,32.0,42.333333333333336,127.0,42.0
2022-10-29,MIA,9.0,34.0,Home,25.0,40.25,161.0,42.333333333333336
2022-11-09,CLE,12.0,42.0,Home,30.0,40.6,203.0,40.25
2022-11-13,GSW,8.0,43.0,Home,35.0,41.0,246.0,40.6
2022-11-15,BRK,3.0,29.0,Home,26.0,39.285714285714285,275.0,41.0
2022-11-17,SAS,7.0,32.0,Home,25.0,38.375,307.0,39.285714285714285
2022-11-20,DET,10.0,35.0,Home,25.0,38.0,342.0,38.375
2022-11-28,PHO,11.0,45.0,Home,34.0,38.7,387.0,38.0
2022-11-30,IND,12.0,47.0,Home,35.0,39.0,434.0,38.7
2022-12-04,CHI,7.0,39.0,Home,32.0,38.9,473.0,39.0
2022-12-19,CHO,11.0,56.0,Home,45.0,40.2,529.0,38.9
2022-12-21,LAL,5.0,39.0,Home,34.0,40.7,568.0,40.2
2022-12-23,WAS,5.0,40.0,Home,35.0,40.5,608.0,40.7
2022-12-27,DEN,10.0,40.0,Home,30.0,40.2,648.0,40.5
2022-12-28,DEN,7.0,34.0,Home,27.0,40.7,682.0,40.2
2022-12-30,UTA,7.0,37.0,Home,30.0,41.2,719.0,40.7
2023-01-04,ATL,7.0,44.0,Home,37.0,42.1,763.0,41.2
2023-01-07,LAL,10.0,38.0,Home,28.0,41.4,801.0,42.1
2023-01-09,ORL,9.0,41.0,Home,32.0,40.8,842.0,41.4
2023-01-11,HOU,8.0,48.0,Home,40.0,41.7,890.0,40.8
2023-01-13,HOU,12.0,34.0,Home,22.0,39.5,924.0,41.7
2023-01-20,OKC,8.0,36.0,Home,28.0,39.2,960.0,39.5
2023-01-21,PHI,16.0,46.0,Home,30.0,39.8,1006.0,39.2
2023-01-23,MEM,10.0,31.0,Home,21.0,38.9,1037.0,39.8
2023-01-25,TOR,11.0,41.0,Home,30.0,39.6,1078.0,38.9
2023-02-10,DAL,11.0,39.0,Home,28.0,39.8,1117.0,39.6
2023-02-11,DAL,7.0,43.0,Home,36.0,39.7,1160.0,39.8
2023-02-23,POR,9.0,33.0,Home,24.0,39.2,1193.0,39.7
2023-03-03,LAC,6.0,32.0,Home,26.0,38.3,1225.0,39.2
2023-03-04,MIN,6.0,40.0,Home,34.0,37.5,1265.0,38.3
2023-03-06,NOP,7.0,40.0,Home,33.0,38.1,1305.0,37.5
2023-03-09,NYK,23.0,58.0,Home,35.0,40.3,1363.0,38.1
2023-03-13,MIL,5.0,43.0,Home,38.0,40.0,1406.0,40.3
2023-03-21,BOS,11.0,43.0,Home,32.0,41.2,1449.0,40.0
2023-03-24,PHO,12.0,43.0,Home,31.0,41.4,1492.0,41.2
2023-03-25,UTA,11.0,45.0,Home,34.0,42.0,1537.0,41.4
2023-03-27,MIN,11.0,40.0,Home,29.0,41.7,1577.0,42.0
2023-04-02,SAS,14.0,52.0,Home,38.0,43.6,1629.0,41.7
2023-04-07,GSW,10.0,47.0,Home,37.0,45.1,1676.0,43.6
